IdCandidatoRed,IdCandidato,IdRedSocial,Tiene,MotivoNoTiene,Usuario,CantidadVideos,Seguidores,Likes,Videos
1,1,1,True,,alfonso.lopezchau,121.0,67200.0,960000.0,398.0
2,2,1,True,,ronaldatenc,115.0,11300.0,162800.0,297.0
3,3,1,True,,cesaracunap,430.0,487800.0,7200000.0,1624.0
4,4,1,True,,josewilliamszapata,125.0,6695.0,68900.0,286.0
5,5,1,True,,alvaropazdlabarraoficial,66.0,10200.0,73500.0,161.0
6,6,1,True,,keikofujimorih,19.0,1200000.0,10600000.0,134.0
7,7,1,True,,fiorellamolinelli,234.0,62500.0,266400.0,470.0
8,8,1,True,,roberto.snchez.pa,267.0,37000.0,450200.0,552.0
9,9,1,True,,rafael.belaundeperu,197.0,56200.0,188300.0,247.0
10,10,1,True,,kike.valderrama.pe,248.0,6199.0,52600.0,315.0
11,11,1,True,,ricardobelmontc,322.0,128400.0,1500000.0,870.0
12,12,1,True,,napoleon_a3,132.0,484.0,3677.0,139.0
13,13,1,True,,jorgenietomon,49.0,31500.0,171500.0,74.0
14,14,1,True,,charliecarrascooficial,653.0,32700.0,488700.0,1220.0
15,15,1,True,,alex_gonzales_verde,494.0,177500.0,177100.0,565.0
16,16,1,True,,masse.armando,58.0,89400.0,643500.0,277.0
17,17,1,True,,georgeforsyth_,98.0,7091.0,40500.0,130.0
18,18,1,True,,popyolivera,128.0,35800.0,296300.0,233.0
19,19,1,True,,mesiasguevaraa,94.0,3887.0,28800.0,265.0
20,20,1,True,,carlosalvarez_tiktok,91.0,571700.0,11100000.0,580.0
21,21,1,False,Varios (no oficial),,,,,
22,22,1,True,,yonhy.lescano,133.0,32400.0,270400.0,312.0
23,23,1,True,,wolfgang_grozo,292.0,133100.0,1700000.0,412.0
24,24,1,True,,vladicerron,175.0,0.0,0.0,0.0
25,25,1,True,,panchodiezcanseco,230.0,4681.0,105800.0,1043.0
26,26,1,True,,mariovizcarrac,27.0,37700.0,201100.0,49.0
27,27,1,True,,walterchirinospurizaga,2.0,2609.0,16500.0,8.0
28,28,1,True,,carlosespaoficial,149.0,55500.0,382800.0,156.0
29,29,1,True,,carlosjaicooficial,105.0,1018.0,11000.0,155.0
30,30,1,True,,pepeluna.presidente,16.0,91700.0,2200000.0,414.0
31,31,1,True,,pereztellomarisol,85.0,30500.0,542000.0,149.0
32,32,1,True,,pauljaimesprogresemos,234.0,139600.0,573700.0,386.0
33,33,1,True,,antonio_ortiz_presidente,14.0,176.0,770.0,21.0
34,34,1,False,No registra usuario,,,,,
35,35,1,True,,robertochiabra,79.0,51700.0,634200.0,1104.0
36,36,1,True,,rafael_lopez_aliaga,246.0,856500.0,31800000.0,1525.0
