IdHistorial,IdCandidato,Usuario,Seguidores,FechaRegistro,Likes,Videos
1,1,alfonso.lopezchau,63600,2026-03-11 03:22:18.977,908800,379
2,2,ronaldatenc,10900,2026-03-11 03:22:25.117,155000,292
3,3,cesaracunap,476200,2026-03-11 03:22:31.130,6900000,1598
4,4,josewilliamszapata,6437,2026-03-11 03:22:37.030,65300,269
5,5,alvaropazdlabarraoficial,10100,2026-03-11 03:22:43.320,73000,160
6,6,keikofujimorih,1100000,2026-03-11 03:22:50.637,10400000,126
7,7,fiorellamolinelli,53500,2026-03-11 03:22:56.807,265000,464
8,8,roberto.snchez.pa,32500,2026-03-11 03:23:02.850,393100,535
9,9,rafael.belaundeperu,56200,2026-03-11 03:23:09.813,188000,244
10,10,kike.valderrama.pe,5013,2026-03-11 03:23:15.790,44700,290
11,11,ricardobelmontc,124800,2026-03-11 03:23:22.707,1500000,813
12,12,napoleon_a3,438,2026-03-11 03:23:28.850,3160,131
13,13,jorgenietomon,24400,2026-03-11 03:23:34.857,134100,74
14,14,charliecarrascooficial,32400,2026-03-11 03:23:40.947,479200,1200
15,15,alex_gonzales_verde,177400,2026-03-11 03:23:47.250,173500,544
16,16,masse.armando,89100,2026-03-11 03:23:53.097,640500,274
17,17,georgeforsyth_,6658,2026-03-11 03:23:59.460,37000,121
18,18,popyolivera,34100,2026-03-11 03:24:05.360,268000,196
19,19,mesiasguevaraa,1903,2026-03-11 03:24:11.367,23400,229
20,20,carlosalvarez_tiktok,571700,2026-03-11 03:24:17.457,11100000,578
21,22,yonhy.lescano,32200,2026-03-11 03:24:23.450,265900,297
22,23,wolfgang_grozo,133800,2026-03-11 03:24:29.280,1700000,394
23,24,vladicerron,0,2026-03-11 03:24:35.220,0,0
24,25,panchodiezcanseco,4669,2026-03-11 03:24:41.357,105600,1039
25,26,mariovizcarrac,37600,2026-03-11 03:24:47.247,195300,42
26,27,walterchirinospurizaga,2593,2026-03-11 03:24:53.420,16500,8
27,28,carlosespaoficial,54400,2026-03-11 03:24:59.690,378900,151
28,29,carlosjaicooficial,978,2026-03-11 03:25:05.570,9809,136
29,30,pepeluna.presidente,91300,2026-03-11 03:25:11.430,2200000,406
30,31,pereztellomarisol,25800,2026-03-11 03:25:17.620,474200,135
31,32,pauljaimesprogresemos,139500,2026-03-11 03:25:24.427,564500,370
32,33,antonio_ortiz_presidente,167,2026-03-11 03:25:30.510,708,21
33,35,robertochiabra,51200,2026-03-11 03:25:37.190,627900,1098
34,36,rafael_lopez_aliaga,853700,2026-03-11 03:25:43.307,31500000,1503
35,1,alfonso.lopezchau,65300,2026-03-13 14:15:21.140,929100,387
36,2,ronaldatenc,11100,2026-03-13 14:15:27.097,158700,295
37,3,cesaracunap,480600,2026-03-13 14:15:33.880,7000000,1610
38,4,josewilliamszapata,6585,2026-03-13 14:15:39.770,67000,272
39,5,alvaropazdlabarraoficial,10200,2026-03-13 14:15:45.633,73300,160
